class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
1,0.688737232,-0.167856189,-0.052009609,0.542949964,0.44219381,-0.347964952,1.577887615,0.954650376,1.157144352,-0.082314437,1.087908224,0.237827652,0.848582861,-0.195413339
1,-1.451932543,-1.067838265,0.852593996,0.542949964,-0.372891842,-0.347964952,-0.440600256,0.954650376,1.157144352,-0.082314437,-0.919195184,0.237827652,-0.558111929,-0.081897585
-1,0.688737232,-0.976658093,-0.705334434,-1.783978455,-0.916282276,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.255846932,-0.194645043
1,-1.451932543,-0.772346964,0.182182213,0.542949964,0.985584244,-0.347964952,0.108129409,0.954650376,1.157144352,0.946616024,-0.919195184,0.237827652,-0.319787605,0.430171791
-1,-1.451932543,-0.28689697,-0.839014745,0.542949964,-0.372891842,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.441687674,-0.002571008
-1,-1.451932543,-1.046731744,-0.839014745,-1.783978455,-0.372891842,-0.347964952,-0.489941071,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.139591165,-0.195413339
-1,0.688737232,0.810642148,-0.688247477,0.542949964,-1.45967271,-0.347964952,-0.615535872,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.093088858,-0.195413339
-1,0.688737232,0.845256843,-0.604822923,0.542949964,-0.916282276,-0.347964952,-0.602079286,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.139591165,-0.195413339
-1,0.688737232,-1.018871136,0.970192464,0.542949964,-0.372891842,-0.347964952,-0.428638847,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.604614236,-0.128187427
1,0.688737232,0.099774504,-0.655078678,0.542949964,1.528974679,1.661205062,0.979817135,0.954650376,1.157144352,0.123471655,1.087908224,0.237827652,-1.069637307,-0.195413339
-1,0.688737232,-0.765592878,-0.931485335,-1.783978455,-0.916282276,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.092920371,-0.181968157
1,0.688737232,0.13523346,-0.345503223,-1.783978455,0.170498593,1.661205062,-0.054844797,0.954650376,1.157144352,-0.288100529,1.087908224,0.237827652,-0.023335397,3.267105281
1,-1.451932543,-0.075831755,1.455663065,0.542949964,0.170498593,-0.347964952,-0.066806206,0.954650376,1.157144352,-0.288100529,-0.919195184,0.237827652,0.209176139,-0.191763932
1,0.688737232,-0.716625748,-0.454055655,0.542949964,0.170498593,-0.347964952,-0.340423451,0.954650376,1.157144352,1.769760393,1.087908224,0.237827652,-0.720870004,0.224076352
1,0.688737232,-0.385675491,-0.805845946,0.542949964,0.170498593,1.661205062,0.606023084,0.954650376,1.157144352,0.123471655,1.087908224,0.237827652,0.74395267,-0.166602234
-1,-1.451932543,-0.941199136,1.15412853,-1.783978455,1.800669896,1.661205062,-0.664876687,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.174467895,-0.18926697
-1,0.688737232,1.752837267,-0.680206556,-1.783978455,0.170498593,1.661205062,2.163996686,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,0.092920371,-0.176205936
1,0.688737232,-0.716625748,1.355151554,0.542949964,0.44219381,1.661205062,-0.029426801,0.954650376,1.157144352,1.769760393,1.087908224,0.237827652,0.616071326,-0.140864313
-1,0.688737232,0.95078945,-0.705334434,0.542949964,-0.101196624,-0.347964952,3.484237271,-1.047503908,1.157144352,-0.288100529,1.087908224,0.237827652,0.976464206,-0.173901047
-1,0.688737232,3.652424202,2.862824228,-1.783978455,-1.731367927,-1.854842462,-0.652915277,-1.047503908,1.157144352,-0.082314437,-0.919195184,0.237827652,-1.069637307,-0.127995353
1,0.688737232,-0.554527663,1.556174577,0.542949964,-0.372891842,-0.347964952,0.232229034,0.954650376,-0.864196415,-0.493886621,1.087908224,-3.111173978,-0.953381539,-0.195413339
1,0.688737232,0.676404671,1.840622155,0.542949964,0.44219381,-0.347964952,1.91430226,0.954650376,1.157144352,0.740829932,1.087908224,0.237827652,-0.66274212,-0.195413339
1,-1.451932543,1.366165793,0.651570972,0.542949964,0.170498593,-0.347964952,1.69002583,0.954650376,1.157144352,0.740829932,1.087908224,0.237827652,-1.069637307,0.046599944
1,-1.451932543,1.338305185,-0.353544144,0.542949964,1.800669896,-0.347964952,3.484237271,0.954650376,1.157144352,-0.082314437,1.087908224,0.237827652,1.947199867,0.131880816
1,0.688737232,-0.7090274,-0.956613213,0.542949964,1.528974679,-0.347964952,-0.639458691,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.195413339
-1,0.688737232,-0.758838791,-0.655078678,-1.783978455,-0.372891842,-0.347964952,-0.503397657,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.3721027,-0.182544379
1,0.688737232,-0.406782012,-0.730462312,0.542949964,1.800669896,1.661205062,-0.291082636,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,0.822194896
-1,0.688737232,2.681524213,-0.848060781,0.542949964,0.170498593,-0.347964952,-0.489941071,0.954650376,1.157144352,0.123471655,1.087908224,0.237827652,-0.023335397,-0.195413339
-1,0.688737232,-0.66006027,-0.873188659,-1.783978455,0.170498593,-0.347964952,-0.652915277,-1.047503908,1.157144352,-0.082314437,-0.919195184,0.237827652,-0.325600393,-0.194260895
1,-1.451932543,-0.913338528,1.103872775,0.542949964,0.985584244,-0.347964952,-0.452561666,0.954650376,1.157144352,-0.082314437,1.087908224,0.237827652,-0.784810676,-0.195413339
-1,-1.451932543,-0.596740706,-0.604822923,-1.783978455,0.170498593,-0.347964952,-0.615535872,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.30234924,-0.195413339
1,0.688737232,-1.300010002,-0.948572292,0.542949964,0.170498593,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.195413339
-1,-1.451932543,-0.174610276,-0.554567167,-1.783978455,0.713889027,1.661205062,-0.066806206,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.418436521,-0.19214808
1,-1.451932543,1.79505031,2.058732135,0.542949964,0.170498593,-0.347964952,0.979817135,0.954650376,1.157144352,2.38711867,-0.919195184,0.237827652,-1.069637307,0.227149537
-1,0.688737232,0.064315548,-0.253032632,0.542949964,-0.916282276,-0.347964952,-0.515359067,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.278929599,-0.195413339
-1,0.688737232,-0.88547792,-0.127393243,-1.783978455,-1.187977493,1.661205062,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.255846932,-0.176205936
-1,0.688737232,-0.28689697,-0.931485335,-1.783978455,-0.916282276,-0.347964952,-0.639458691,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.185924985,0.207942133
-1,0.688737232,-1.061084179,-0.604822923,-1.783978455,0.170498593,-0.347964952,0.033370599,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.418605007,-0.194260895
-1,0.688737232,-0.336708361,-0.303288388,-1.783978455,0.985584244,1.661205062,0.85571751,-1.047503908,1.157144352,-0.082314437,1.087908224,0.237827652,1.075281609,-0.195221265
1,0.688737232,-0.315601839,-0.655078678,0.542949964,0.44219381,-0.347964952,-0.066806206,0.954650376,1.157144352,1.769760393,1.087908224,0.237827652,1.453112854,-0.188690748
1,0.688737232,0.711863627,0.350036438,0.542949964,-0.372891842,0.154327552,0.381746654,0.954650376,1.157144352,-0.288100529,-0.919195184,0.237827652,-1.069637307,-0.099376322
-1,-1.451932543,0.486445977,-0.454055655,0.542949964,-1.187977493,1.661205062,-0.602079286,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.441687674,-0.148163127
1,0.688737232,0.922928842,0.031414946,-1.783978455,0.44219381,-0.347964952,0.281569849,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.767372311,0.081557419
1,0.688737232,2.126000567,1.505918821,0.542949964,-0.101196624,-0.347964952,-0.291082636,0.954650376,1.157144352,0.329257748,1.087908224,0.237827652,0.092920371,-0.195413339
-1,0.688737232,0.97949432,0.048501903,0.542949964,-1.187977493,0.154327552,0.007952604,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.250034144,-0.195413339
-1,-1.451932543,-0.66006027,-0.813886867,0.542949964,0.44219381,-0.347964952,-0.590117877,-1.047503908,1.157144352,-0.288100529,1.087908224,0.237827652,0.325431906,-0.194645043
1,0.688737232,-1.103297222,-0.554567167,0.542949964,-1.187977493,-0.347964952,-0.216323826,0.954650376,1.157144352,-0.082314437,-0.919195184,0.237827652,-0.3721027,-0.137791129
-1,-1.451932543,0.781937278,-0.253032632,0.542949964,-1.187977493,0.154327552,-0.515359067,-1.047503908,-0.864196415,-0.493886621,-0.919195184,-3.111173978,5.673197224,-0.195413339
1,-1.451932543,-0.596740706,-0.856101702,0.542949964,0.985584244,1.661205062,-0.216323826,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.557943442,-0.037144335
1,0.688737232,0.880715799,1.011402184,0.542949964,1.800669896,1.661205062,1.715443825,0.954650376,1.157144352,1.152402116,-0.919195184,0.237827652,-1.069637307,-0.195413339
-1,-1.451932543,-1.018871136,-0.923444414,0.542949964,0.985584244,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,1.139222281,-0.195413339
-1,0.688737232,-0.850018964,1.355151554,0.542949964,-1.187977493,-0.347964952,-0.515359067,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.488358468,-0.182352305
-1,0.688737232,-0.026864625,-0.386712943,0.542949964,-1.731367927,-1.854842462,-0.664876687,-1.047503908,1.157144352,0.53504384,-0.919195184,0.237827652,-0.04658655,-0.16737053
1,0.688737232,-0.364568969,-0.637991722,0.542949964,1.528974679,1.661205062,-0.116147021,0.954650376,1.157144352,1.975546485,1.087908224,0.237827652,2.319218324,-0.058464552
-1,0.688737232,1.450591879,4.337328103,-1.783978455,-1.731367927,-1.854842462,-0.664876687,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-1.069637307,-0.195413339
-1,-1.451932543,-0.096938277,-0.680206556,0.542949964,0.44219381,1.661205062,-0.652915277,-1.047503908,1.157144352,0.123471655,-0.919195184,0.237827652,-1.069637307,-0.189074896
-1,0.688737232,-0.181364363,-0.705334434,0.542949964,0.44219381,-0.347964952,-0.141565016,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.092920371,-0.195413339
1,0.688737232,-0.280142883,0.056542824,-1.783978455,0.170498593,0.154327552,-0.216323826,0.954650376,1.157144352,1.152402116,1.087908224,0.237827652,-0.232595779,-0.194068821
1,0.688737232,0.732970149,3.365381786,0.542949964,0.713889027,2.163497566,5.315828118,0.954650376,1.157144352,1.769760393,-0.919195184,0.237827652,-1.069637307,0.035075502
-1,0.688737232,0.416372326,-0.102265365,0.542949964,0.985584244,-0.347964952,0.381746654,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,1.569368622,-0.185809637
-1,0.688737232,-0.505560533,-0.889270501,0.542949964,-0.916282276,1.661205062,0.381746654,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.906710745,-0.195413339
-1,0.688737232,-0.146749667,-0.253032632,0.542949964,0.170498593,-0.347964952,-0.615535872,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.185924985,-0.195413339
-1,0.688737232,-0.716625748,-0.956613213,0.542949964,-0.916282276,-0.347964952,-0.365841446,-1.047503908,1.157144352,1.769760393,-0.919195184,-3.111173978,-1.069637307,-0.195413339
1,-1.451932543,0.050807374,-0.663119599,0.542949964,0.44219381,-0.347964952,-0.340423451,0.954650376,1.157144352,2.798690854,-0.919195184,0.237827652,-0.3721027,0.203908579
1,0.688737232,-0.540175228,-0.253032632,0.542949964,1.528974679,-0.347964952,-0.477979662,0.954650376,1.157144352,0.946616024,-0.919195184,0.237827652,-1.069637307,1.160437271
-1,-1.451932543,0.304085632,-0.202776876,0.542949964,-1.731367927,-1.854842462,-0.664876687,-1.047503908,1.157144352,0.740829932,-0.919195184,0.237827652,-1.069637307,-0.156998532
-1,-1.451932543,-1.096543135,1.053617019,0.542949964,-1.45967271,-0.347964952,-0.540777062,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.604614236,-0.18734623
-1,0.688737232,0.70510954,0.048501903,0.542949964,-1.187977493,0.154327552,-0.602079286,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,2.127396307,-0.195413339
-1,0.688737232,-0.687920879,-0.75559019,0.542949964,0.170498593,-0.347964952,-0.515359067,-1.047503908,-0.864196415,-0.493886621,1.087908224,-3.111173978,0.557943442,-0.195413339
1,0.688737232,0.507552499,-0.956613213,0.542949964,0.170498593,-0.347964952,-0.664876687,-1.047503908,-0.864196415,-0.493886621,-0.919195184,3.586829282,-8.42E-05,-0.195413339
-1,-1.451932543,-0.575634184,1.790366399,0.542949964,0.985584244,1.661205062,-0.216323826,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.557943442,-0.195221265
1,-1.451932543,1.302846229,1.656686088,0.542949964,-1.187977493,0.154327552,0.879640329,0.954650376,1.157144352,1.358188209,1.087908224,0.237827652,-1.069637307,-0.195413339
1,0.688737232,0.219659546,0.098757659,0.542949964,0.44219381,-0.347964952,-0.639458691,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.616071326,-0.194260895
-1,0.688737232,-0.793453486,-0.839014745,-1.783978455,-1.731367927,-1.854842462,-0.664876687,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.488358468,-0.195413339
-1,0.688737232,-0.322355926,-0.697293513,0.542949964,-0.916282276,1.661205062,-0.590117877,-1.047503908,-0.864196415,-0.493886621,1.087908224,-3.111173978,-0.255846932,-0.195413339
-1,0.688737232,0.944035364,-0.135434163,0.542949964,-0.372891842,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.441856161,-0.176205936
-1,0.688737232,-0.244683927,1.958220623,0.542949964,-1.45967271,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.140480165
1,0.688737232,0.395265805,0.048501903,0.542949964,0.170498593,0.154327552,0.082711414,0.954650376,1.157144352,0.740829932,-0.919195184,0.237827652,-1.069637307,-0.124922168
-1,-1.451932543,-1.13115783,1.053617019,-1.783978455,0.985584244,1.661205062,-0.615535872,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.906710745,-0.195413339
1,0.688737232,-0.871125485,-0.655078678,0.542949964,0.44219381,-0.347964952,-0.216323826,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.197719049,-0.193876747
-1,-1.451932543,0.620683454,-0.62190988,0.542949964,-0.372891842,-0.347964952,-0.590117877,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.120504466
-1,0.688737232,0.022102505,-0.948572292,-1.783978455,-0.101196624,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.195413339
-1,-1.451932543,-1.202075742,0.953105507,0.542949964,-0.372891842,-0.347964952,-0.141565016,-1.047503908,1.157144352,1.563974301,1.087908224,0.237827652,-1.069637307,-0.193492599
1,-1.451932543,-0.941199136,-0.788758989,0.542949964,0.985584244,-0.347964952,-0.190905831,0.954650376,1.157144352,-0.288100529,-0.919195184,0.237827652,-1.069637307,-0.195413339
-1,-1.451932543,0.634191628,-0.15252112,0.542949964,0.170498593,-0.347964952,0.232229034,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,1.72050112,-0.195413339
1,0.688737232,0.599576933,-0.914398378,0.542949964,-0.916282276,-0.347964952,-0.639458691,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,0.557943442,-0.195413339
1,0.688737232,-0.329110013,1.807453356,0.542949964,0.44219381,-0.347964952,1.054575945,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,1.761190639,-0.099376322
1,0.688737232,-0.322355926,-0.839014745,-1.783978455,1.528974679,-0.347964952,-0.590117877,0.954650376,1.157144352,-0.082314437,-0.919195184,0.237827652,0.441687674,-0.099376322
-1,0.688737232,-1.061084179,-0.956613213,-1.783978455,-1.731367927,-1.854842462,-0.664876687,-1.047503908,1.157144352,0.329257748,-0.919195184,0.237827652,-0.808061829,-0.195221265
1,-1.451932543,-0.554527663,-0.780718068,0.542949964,1.800669896,1.661205062,-0.353880037,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.139591165,0.930140503
1,0.688737232,-0.329110013,-0.554567167,0.542949964,1.800669896,1.661205062,-0.365841446,0.954650376,1.157144352,0.329257748,-0.919195184,0.237827652,-0.255846932,1.253593177
-1,0.688737232,-0.786699399,0.852593996,0.542949964,-0.372891842,-0.347964952,-0.639458691,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,-0.195413339
1,-1.451932543,1.541772052,1.774284557,0.542949964,-0.916282276,1.661205062,1.876922855,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-1.069637307,-0.195413339
-1,0.688737232,0.064315548,-0.454055655,0.542949964,0.170498593,-0.347964952,-0.291082636,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.557943442,-0.195413339
-1,0.688737232,0.564117977,1.078744897,-1.783978455,-0.916282276,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.139591165,-0.195413339
-1,0.688737232,1.330706837,0.350036438,0.542949964,0.170498593,-0.347964952,-0.365841446,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-1.069637307,-0.151620459
-1,0.688737232,-0.315601839,-0.15252112,-1.783978455,-1.187977493,1.661205062,1.054575945,0.954650376,1.157144352,-0.082314437,1.087908224,0.237827652,-0.633678178,-0.195413339
1,-1.451932543,0.353052762,-0.772677147,0.542949964,-0.372891842,-0.347964952,-0.440600256,0.954650376,1.157144352,0.329257748,-0.919195184,0.237827652,-1.069637307,0.108639858
-1,0.688737232,0.169848155,-0.906357458,0.542949964,-1.187977493,0.154327552,0.531264274,-1.047503908,-0.864196415,-0.493886621,1.087908224,-3.111173978,1.371733817,-0.195413339
1,0.688737232,0.212061198,-0.940531371,-1.783978455,-0.101196624,0.154327552,-0.652915277,0.954650376,1.157144352,-0.288100529,1.087908224,0.237827652,0.557943442,0.18873473
1,-1.451932543,-0.913338528,1.120959732,0.542949964,1.528974679,1.661205062,-0.564699881,0.954650376,1.157144352,-0.288100529,1.087908224,0.237827652,-0.604614236,-0.185809637
1,0.688737232,0.13523346,-0.75559019,0.542949964,1.800669896,-0.347964952,-0.440600256,0.954650376,1.157144352,0.946616024,1.087908224,0.237827652,0.906710745,0.586520055
1,0.688737232,-0.744486356,1.254640042,0.542949964,0.985584244,-0.347964952,0.082711414,0.954650376,1.157144352,0.946616024,1.087908224,0.237827652,-0.488358468,-0.040025445
1,0.688737232,1.450591879,0.752082484,0.542949964,0.170498593,1.661205062,3.073063816,0.954650376,1.157144352,1.358188209,-0.919195184,0.237827652,-0.017522608,0.122469188
1,0.688737232,0.760830757,0.048501903,0.542949964,0.170498593,-0.347964952,0.830299514,0.954650376,1.157144352,0.946616024,-0.919195184,0.237827652,-1.069637307,0.393293577
-1,0.688737232,-0.920092615,-0.788758989,-1.783978455,0.170498593,-0.347964952,-0.066806206,-1.047503908,-0.864196415,-0.493886621,1.087908224,-3.111173978,0.325431906,-0.195413339
-1,-1.451932543,0.60633102,-0.655078678,0.542949964,-1.731367927,-1.854842462,-0.664876687,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.627865389,-0.195413339
1,-1.451932543,2.153861176,2.963335739,0.542949964,0.170498593,-0.347964952,0.979817135,0.954650376,1.157144352,0.946616024,-0.919195184,0.237827652,-1.069637307,0.380808765
1,-1.451932543,-0.026864625,-0.202776876,0.542949964,1.528974679,1.661205062,-0.477979662,0.954650376,1.157144352,1.358188209,1.087908224,0.237827652,-0.017522608,-0.195413339
-1,0.688737232,-0.807805921,-0.797805025,0.542949964,0.44219381,-0.347964952,-0.578156467,-1.047503908,1.157144352,-0.288100529,-0.919195184,0.237827652,1.371733817,-0.141056387
1,-1.451932543,2.259393783,1.053617019,0.542949964,0.985584244,-0.347964952,0.531264274,0.954650376,1.157144352,2.38711867,-0.919195184,0.237827652,-1.069637307,0.112289264
-1,0.688737232,-0.223577406,-0.88122958,0.542949964,0.170498593,-0.347964952,-0.578156467,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.209176139,-0.168522974
1,-1.451932543,1.218420143,-0.15252112,0.542949964,-0.644587059,-0.850257455,-0.664876687,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.488358468,-0.011022266
1,0.688737232,-0.892232007,-0.353544144,-1.783978455,-1.45967271,-0.347964952,-0.340423451,0.954650376,1.157144352,1.152402116,1.087908224,0.237827652,-0.139591165,-0.195221265
1,-1.451932543,-0.575634184,1.556174577,0.542949964,-0.372891842,-0.347964952,-0.216323826,0.954650376,1.157144352,1.975546485,1.087908224,0.237827652,-0.3721027,-0.086507361
-1,-1.451932543,-0.906584441,-0.856101702,-1.783978455,0.713889027,-1.352549959,-0.365841446,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.441687674,-0.195413339
-1,0.688737232,-0.589986619,1.7571976,-1.783978455,-1.731367927,-1.854842462,-0.664876687,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-8.42E-05,-0.195413339
-1,-1.451932543,-0.427888534,-0.41184082,-1.783978455,0.170498593,-0.347964952,-0.639458691,-1.047503908,-0.864196415,-0.493886621,-0.919195184,-3.111173978,-0.604614236,-0.195413339
-1,0.688737232,0.789535626,-0.788758989,0.542949964,-1.731367927,-1.854842462,-0.664876687,0.954650376,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.313974816,-0.195221265
-1,-1.451932543,0.570872063,-0.069096566,0.542949964,0.170498593,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.139591165,-0.195413339
-1,0.688737232,-1.012117049,-0.839014745,0.542949964,-1.731367927,-1.854842462,-0.664876687,-1.047503908,1.157144352,0.123471655,-0.919195184,0.237827652,0.964838629,-0.047708406
1,0.688737232,0.648544063,0.953105507,0.542949964,-0.101196624,-0.347964952,1.278852375,0.954650376,1.157144352,2.38711867,-0.919195184,0.237827652,0.325431906,0.689471738
1,0.688737232,-0.491208098,-0.856101702,0.542949964,0.170498593,-0.347964952,-0.228285236,0.954650376,1.157144352,0.53504384,1.087908224,0.237827652,0.74395267,-0.195413339
1,-1.451932543,1.22517423,-0.353544144,0.542949964,0.170498593,-0.347964952,0.045332009,0.954650376,1.157144352,1.152402116,1.087908224,0.237827652,1.232226895,0.603422571
-1,0.688737232,-1.004518701,1.053617019,-1.783978455,-0.916282276,1.661205062,-0.415182261,0.954650376,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.255846932,-0.195413339
-1,-1.451932543,-0.786699399,-0.705334434,-1.783978455,-1.731367927,-1.854842462,0.306987844,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,0.557943442,-0.195413339
-1,0.688737232,-1.075436613,-0.244991711,-1.783978455,-1.731367927,-1.854842462,-0.664876687,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.023335397,-0.195221265
1,0.688737232,2.744843777,3.063847251,0.542949964,1.800669896,1.661205062,4.568240017,0.954650376,1.157144352,1.358188209,1.087908224,0.237827652,-1.069637307,-0.003339305
-1,-1.451932543,-1.272149393,-0.705334434,0.542949964,0.985584244,-0.347964952,-0.590117877,-1.047503908,1.157144352,-0.288100529,-0.919195184,0.237827652,-0.441856161,-0.176590084
1,-1.451932543,3.132359512,2.058732135,0.542949964,0.713889027,2.163497566,-0.664876687,0.954650376,1.157144352,2.38711867,-0.919195184,0.237827652,-1.069637307,0.453028601
1,0.688737232,3.814522287,3.524189974,0.542949964,0.713889027,2.163497566,3.147822626,0.954650376,1.157144352,-0.288100529,1.087908224,0.237827652,-1.069637307,-0.174477269
-1,-1.451932543,-1.321116523,-0.378672022,0.542949964,0.985584244,-0.347964952,-0.639458691,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.3721027,-0.195413339
